id;origen.x;origen.y;var.x;final_diagnosis_numeric_cor;final_diagnosis_numeric_chi;final_diagnosis_numeric_anova;depression_cor;depression_chi;depression_anova;euthymia_cor;euthymia_chi;euthymia_anova;hypomania_cor;hypomania_chi;hypomania_anova;mixed_cor;mixed_chi;mixed_anova;hospitalized_cor;hospitalized_chi;hospitalized_anova
ALPA;Diario;TargetVar;caffeine;-0.0401;0.0435;0.5406;NA;NA;NA;0.0401;0.0435;0.5406;NA;NA;NA;-0.0401;0.0435;0.5406;NA;NA;NA
ALPA;Diario;TargetVar;sleep_time;0.0849;0.2926;0.1946;NA;NA;NA;-0.0849;0.2926;0.1946;NA;NA;NA;0.0849;0.2926;0.1946;NA;NA;NA
ALPA;Diario;TargetVar;wakeup_time;-0.298;0.3394;0;NA;NA;NA;0.298;0.3394;0;NA;NA;NA;-0.298;0.3394;0;NA;NA;NA
ALPA;Diario;TargetVar;slowness_fill_form;0.1879;0.4586;0.0038;NA;NA;NA;-0.1879;0.4586;0.0038;NA;NA;NA;0.1879;0.4586;0.0038;NA;NA;NA
ALPA;Diario;TargetVar;sleep_duration;-0.2496;0.3554;0.0001;NA;NA;NA;0.2496;0.3554;0.0001;NA;NA;NA;-0.2496;0.3554;0.0001;NA;NA;NA
ALPA;Diario;TargetVar;sleep_zenith;-0.2727;0.1303;0;NA;NA;NA;0.2727;0.1303;0;NA;NA;NA;-0.2727;0.1303;0;NA;NA;NA
ALPA;Diario;TargetVar;slowness_fill_form_no_outliers;0.2082;0.4586;0.0013;NA;NA;NA;-0.2082;0.4586;0.0013;NA;NA;NA;0.2082;0.4586;0.0013;NA;NA;NA
ALPA;Diario;TargetVar;slowness_fill_form_no_outliers_scales;0.2082;0.4586;0.0013;NA;NA;NA;-0.2082;0.4586;0.0013;NA;NA;NA;0.2082;0.4586;0.0013;NA;NA;NA
ALPA;Intervenciones;TargetVar;I_alleviation;-1;0.4017;0;NA;NA;NA;1;0.4017;0;NA;NA;NA;-1;0.4017;0;NA;NA;NA
ALPA;Intervenciones;TargetVar;I_therapist;0.2582;1;0.5761;NA;NA;NA;-0.2582;1;0.5761;NA;NA;NA;0.2582;1;0.5761;NA;NA;NA
ALPA;Intervenciones;TargetVar;I_diagnosis;0.9102;0.0302;0.0044;NA;NA;NA;-0.9102;0.0302;0.0044;NA;NA;NA;0.9102;0.0302;0.0044;NA;NA;NA
ALPA;Intervenciones;TargetVar;I_intervencion_type;0.4714;0.8761;0.2856;NA;NA;NA;-0.4714;0.8761;0.2856;NA;NA;NA;0.4714;0.8761;0.2856;NA;NA;NA
ALPA;Young;TargetVar;Y_euphoria;0.6325;0.6985;0.1778;NA;NA;NA;-0.6325;0.6985;0.1778;NA;NA;NA;0.6325;0.6985;0.1778;NA;NA;NA
