"","id","origen.x","origen.y","var.x","E_final_diagnosis_numeric_cor","E_final_diagnosis_numeric_chi","E_final_diagnosis_numeric_anova","depression_cor","depression_chi","depression_anova","euthymia_cor","euthymia_chi","euthymia_anova","hypomania_cor","hypomania_chi","hypomania_anova","mixed_cor","mixed_chi","mixed_anova","hospitalized_cor","hospitalized_chi","hospitalized_anova"
"6","ALPA","Diario","TargetVar","D_caffeine",-0.0401,0.0435,0.5406,NA,NA,NA,0.0401,0.0435,0.5406,NA,NA,NA,-0.0401,0.0435,0.5406,NA,NA,NA
"7","ALPA","Diario","TargetVar","D_sleep_time",0.0849,0.2926,0.1946,NA,NA,NA,-0.0849,0.2926,0.1946,NA,NA,NA,0.0849,0.2926,0.1946,NA,NA,NA
"8","ALPA","Diario","TargetVar","D_wakeup_time",-0.298,0.3394,0,NA,NA,NA,0.298,0.3394,0,NA,NA,NA,-0.298,0.3394,0,NA,NA,NA
"11","ALPA","Diario","TargetVar","D_slowness_fill_form",0.1879,0.4586,0.0038,NA,NA,NA,-0.1879,0.4586,0.0038,NA,NA,NA,0.1879,0.4586,0.0038,NA,NA,NA
"12","ALPA","Diario","TargetVar","D_sleep_duration",-0.2496,0.3554,1e-04,NA,NA,NA,0.2496,0.3554,1e-04,NA,NA,NA,-0.2496,0.3554,1e-04,NA,NA,NA
"13","ALPA","Diario","TargetVar","D_sleep_zenith",-0.2727,0.1303,0,NA,NA,NA,0.2727,0.1303,0,NA,NA,NA,-0.2727,0.1303,0,NA,NA,NA
"18","ALPA","Diario","TargetVar","D_slowness_fill_form_no_outliers",0.2082,0.4586,0.0013,NA,NA,NA,-0.2082,0.4586,0.0013,NA,NA,NA,0.2082,0.4586,0.0013,NA,NA,NA
"19","ALPA","Diario","TargetVar","D_slowness_fill_form_no_outliers_scales",0.2082,0.4586,0.0013,NA,NA,NA,-0.2082,0.4586,0.0013,NA,NA,NA,0.2082,0.4586,0.0013,NA,NA,NA
"22","ALPA","Pulsera","TargetVar","S_sleeponset",0.1172,0.3721,0.0895,NA,NA,NA,-0.1172,0.3721,0.0895,NA,NA,NA,0.1172,0.3721,0.0895,NA,NA,NA
"23","ALPA","Pulsera","TargetVar","S_wakeup",0.2397,0.429,4e-04,NA,NA,NA,-0.2397,0.429,4e-04,NA,NA,NA,0.2397,0.429,4e-04,NA,NA,NA
"30","ALPA","Pulsera","TargetVar","S_nonwear_perc_spt",-0.2408,0.3536,4e-04,NA,NA,NA,0.2408,0.3536,4e-04,NA,NA,NA,-0.2408,0.3536,4e-04,NA,NA,NA
"31","ALPA","Pulsera","TargetVar","S_nonwear_perc_day_spt",-0.1981,0.4098,0.0039,NA,NA,NA,0.1981,0.4098,0.0039,NA,NA,NA,-0.1981,0.4098,0.0039,NA,NA,NA
"32","ALPA","Pulsera","TargetVar","S_dur_spt_sleep_min",0.3275,0.4676,0,NA,NA,NA,-0.3275,0.4676,0,NA,NA,NA,0.3275,0.4676,0,NA,NA,NA
"33","ALPA","Pulsera","TargetVar","S_dur_spt_wake_IN_min",-0.2699,0.4676,1e-04,NA,NA,NA,0.2699,0.4676,1e-04,NA,NA,NA,-0.2699,0.4676,1e-04,NA,NA,NA
"34","ALPA","Pulsera","TargetVar","S_dur_spt_wake_LIG_min",-0.1762,0.3721,0.0104,NA,NA,NA,0.1762,0.3721,0.0104,NA,NA,NA,-0.1762,0.3721,0.0104,NA,NA,NA
"35","ALPA","Pulsera","TargetVar","S_dur_spt_wake_MOD_min",-0.1892,0.2054,0.0058,NA,NA,NA,0.1892,0.2054,0.0058,NA,NA,NA,-0.1892,0.2054,0.0058,NA,NA,NA
"37","ALPA","Pulsera","TargetVar","S_dur_day_IN_unbt_min",0.0974,0.4482,0.1587,NA,NA,NA,-0.0974,0.4482,0.1587,NA,NA,NA,0.0974,0.4482,0.1587,NA,NA,NA
"38","ALPA","Pulsera","TargetVar","S_dur_day_LIG_unbt_min",0.1896,0.4482,0.0057,NA,NA,NA,-0.1896,0.4482,0.0057,NA,NA,NA,0.1896,0.4482,0.0057,NA,NA,NA
"39","ALPA","Pulsera","TargetVar","S_dur_day_MOD_unbt_min",0.1678,0.429,0.0147,NA,NA,NA,-0.1678,0.429,0.0147,NA,NA,NA,0.1678,0.429,0.0147,NA,NA,NA
"41","ALPA","Pulsera","TargetVar","S_dur_day_MVPA_bts_1_min",0.4599,0.429,0,NA,NA,NA,-0.4599,0.429,0,NA,NA,NA,0.4599,0.429,0,NA,NA,NA
"42","ALPA","Pulsera","TargetVar","S_dur_day_IN_bts_30_min",-0.0886,0.4676,0.1997,NA,NA,NA,0.0886,0.4676,0.1997,NA,NA,NA,-0.0886,0.4676,0.1997,NA,NA,NA
"43","ALPA","Pulsera","TargetVar","S_dur_day_IN_bts_10_30_min",0.4264,0.4676,0,NA,NA,NA,-0.4264,0.4676,0,NA,NA,NA,0.4264,0.4676,0,NA,NA,NA
"44","ALPA","Pulsera","TargetVar","S_dur_day_IN_bts_1_10_min",-0.1116,0.429,0.106,NA,NA,NA,0.1116,0.429,0.106,NA,NA,NA,-0.1116,0.429,0.106,NA,NA,NA
