"","id","origen.x","origen.y","var.x","Z_dx_numeric_cor","Z_dx_numeric_chi","Z_dx_numeric_anova","depression_cor","depression_chi","depression_anova","euthymia_cor","euthymia_chi","euthymia_anova","hypomania_cor","hypomania_chi","hypomania_anova","mixed_cor","mixed_chi","mixed_anova","hospitalized_cor","hospitalized_chi","hospitalized_anova"
"2","PRFE","Diario","TargetVar","D_animus",-0.1108,0.7991,0.3344,0.1108,0.7991,0.3344,NA,NA,NA,NA,NA,NA,-0.1108,0.7991,0.3344,NA,NA,NA
"4","PRFE","Diario","TargetVar","D_caffeine",-0.0925,0.926,0.4206,0.0925,0.926,0.4206,NA,NA,NA,NA,NA,NA,-0.0925,0.926,0.4206,NA,NA,NA
"5","PRFE","Diario","TargetVar","D_concentration",-0.2245,0.1376,0.0482,0.2245,0.1376,0.0482,NA,NA,NA,NA,NA,NA,-0.2245,0.1376,0.0482,NA,NA,NA
"7","PRFE","Diario","TargetVar","D_irritability",0.1911,0.0096,0.0938,-0.1911,0.0096,0.0938,NA,NA,NA,NA,NA,NA,0.1911,0.0096,0.0938,NA,NA,NA
"8","PRFE","Diario","TargetVar","D_motivation",-0.1632,0.3447,0.1534,0.1632,0.3447,0.1534,NA,NA,NA,NA,NA,NA,-0.1632,0.3447,0.1534,NA,NA,NA
"9","PRFE","Diario","TargetVar","D_observation_string_length",-0.0964,0.9326,0.401,0.0964,0.9326,0.401,NA,NA,NA,NA,NA,NA,-0.0964,0.9326,0.401,NA,NA,NA
"10","PRFE","Diario","TargetVar","D_sleep_duration",0.1811,0.8471,0.1125,-0.1811,0.8471,0.1125,NA,NA,NA,NA,NA,NA,0.1811,0.8471,0.1125,NA,NA,NA
"12","PRFE","Diario","TargetVar","D_sleep_time",-0.1767,0.9555,0.1217,0.1767,0.9555,0.1217,NA,NA,NA,NA,NA,NA,-0.1767,0.9555,0.1217,NA,NA,NA
"13","PRFE","Diario","TargetVar","D_sleep_zenith",0.0474,0.9413,0.6804,-0.0474,0.9413,0.6804,NA,NA,NA,NA,NA,NA,0.0474,0.9413,0.6804,NA,NA,NA
"14","PRFE","Diario","TargetVar","D_slowness_fill_form",-0.3478,0.3836,0.0018,0.3478,0.3836,0.0018,NA,NA,NA,NA,NA,NA,-0.3478,0.3836,0.0018,NA,NA,NA
"15","PRFE","Diario","TargetVar","D_slowness_fill_form_no_outliers",-0.3608,0.3836,0.0012,0.3608,0.3836,0.0012,NA,NA,NA,NA,NA,NA,-0.3608,0.3836,0.0012,NA,NA,NA
